order_id,amount,currency,order_date,customer_ref,status,razorpay_payment_id,merchant
ORD10055,23598.8,INR,2026-08-17,CUST25127,paid,pay_yqoYMaaItDr9uP,Dora-Rana
ORD10028,14349.75,INR,2026-08-17,CUST91806,paid,pay_ufrdZSlB5er8bO,"Bava, Bora and Wason"
ORD10057,17455.41,inr,2026-08-02,CUST94154,paid,pay_AxRzmaZsV2GenF,Pau PLC
ORD10076,3422.38,INR,2026-08-21,CUST06776,paid,pay_JjPZ6zfKN7xVGk,Tripathi and Sons
ORD10016,23883.02,INR,2026-08-12,CUST47794,paid,pay_fogoEmvnEN5N1a,Chadha Group
ORD10001,9990.62,INR,2026-08-05,CUST06329,paid,pay_e0IgxLd6GncfBA,Boase-Khosla
ORD10032,24563.53,INR,2026-08-07,CUST44919,paid,pay_m14TUOizwd1iae,Samra Inc
ORD10062,9442.32,INR,2026-08-07,CUST58504,paid,pay_muxV5EbOApZOXz,"Dasgupta, Kapoor and Bhatia"
ORD10029,1851.24,INR,2026-08-08,CUST15949,paid,pay_DavJA76rNicHTp,"Ranganathan, Bawa and Kant"
ORD10052,10908.55,INR,2026-08-15,CUST40897,paid,pay_2039bicBTW5ZE9,Deol LLC
ORD10043,2049.4,INR,2026-08-07,CUST11837,paid,pay_jVHq8xiM0OGr4h,Dhawan-Zachariah
ORD10036,16506.08,INR,2026-08-05,CUST93847,paid,pay_Y4MyWuUFjsUNPj,Morar PLC
ORD10065,20406.05,INR,2026-08-14,CUST17395,partial_refund,pay_7FlaZ7Vt0SXjMp,"Golla, Chauhan and Guha"
ORD10017,20898.29,inr,2026-08-03,CUST15717,paid,pay_6yYTWmE4lBYOvf,Chatterjee-Bhatnagar
ORD10030,5202.85,INR,2026-08-06,CUST40894,paid,pay_OtHWnsCGRlrwZb,"Bhasin, Jha and Taneja"
ORD10038,15999.57,INR,2026-08-05,CUST13752,paid,pay_y1CJdObOIRpFqa,"Wali, Sane and Murthy"
ORD10010,23764.55,INR,2026-08-17,CUST85848,paid,pay_RVdD53X83RZJzz,Setty-Pathak
ORD10051,12553.02,INR,2026-08-02,CUST75273,paid,pay_9xiRGHOY32nfr5,Kothari-Gole
ORD10042,24832.85,INR,2026-08-04,CUST71969,paid,pay_mtf7EbsDe0G9Cr,"Kohli, Bumb and Mital"
ORD10047,10120.03,INR,2026-08-21,CUST72634,paid,pay_JnUfd7UACNWiP3,"Talwar, Oza and Sen"
ORD10035,12716.44,INR,2026-08-08,CUST00649,paid,pay_fq0fjzLczbttOo,Bora-Dalal
ORD10033,16696.65,inr,2026-08-03,CUST49923,paid,pay_3GQsMpSscDlkrC,"Sahota, Gala and Oommen"
ORD10071,15154.45,inr,2026-08-15,CUST87131,paid,pay_8agOMTNwncxvjc,Suresh Group
ORD10018,18174.01,INR,2026-08-03,CUST22283,paid,pay_ibjL5DZPjN0MEQ,Brahmbhatt PLC
ORD10002,1664.94,INR,2026-08-14,CUST74116,paid,pay_h8oOOL8dKLzdoc,"Murthy, Oak and Palla"
ORD10007,22197.6,INR,2026-08-13,CUST45483,paid,pay_b8DwkNhFdnXsiV,"Taneja, Shan and Biswas"
ORD10027,24297.06,inr,2026-08-08,CUST13734,refunded,pay_fqrc5XlrWi0B26,Madan Group
ORD10024,10531.6,INR,2026-08-05,CUST51428,paid,pay_CueQpBenQtYh5X,"Bhattacharyya, Bhat and Mukherjee"
ORD10008,2197.42,INR,2026-08-16,CUST58876,paid,pay_zJr4i0B3JrTAwR,"Sehgal, Mane and Raju"
ORD10005,18289.24,INR,2026-08-11,CUST37741,paid,pay_MehGAkWvj7FAc9,"Palan, Bajaj and Shenoy"
ORD10056,6326.05,INR,2026-08-18,CUST53977,paid,pay_TPtdbmF4RPAfqo,Ganguly-Dada
ORD10023,24338.33,INR,2026-08-20,CUST79448,paid,pay_GmSrCGIZEG8pSH,Bhargava-Kamdar
ORD10053,21414.47,INR,2026-08-17,CUST58845,paid,pay_pYgojjHRg80USP,Dayal-Kota
ORD10048,3356.32,inr,2026-08-18,CUST61891,paid,pay_AvstqVVPqzPptE,Raman-Taneja
ORD10034,24320.05,INR,2026-08-11,CUST71707,paid,pay_upc94tnwlavyfE,Ganesan Group
ORD10044,9972.2,INR,2026-08-16,CUST20850,paid,pay_a8FRCztUjAwyuh,Mall-Devan
ORD10060,16380.21,INR,2026-08-06,CUST68787,paid,pay_VDctQUy1xvCkga,Mallick-Sagar
ORD10072,15064.7,INR,2026-08-02,CUST85413,paid,pay_6n0a0uARxlNten,Rai-Kashyap
ORD10074,10561.57,INR,2026-08-23,CUST06732,paid,pay_tVK4wAAb3XZxPm,Butala and Sons
ORD10012,15427.91,INR,2026-08-07,CUST19471,paid,pay_Oq9wMxEhh2FDEE,Kata Ltd
ORD10058,5923.06,INR,2026-08-07,CUST29025,paid,pay_qW4sg8NFNl5oFA,Arora Group
ORD10013,18559.71,INR,2026-08-11,CUST62734,paid,pay_1SkHbn88HxjSI6,"Gopal, Lall and Manda"
ORD10049,2063.23,INR,2026-08-06,CUST65616,paid,pay_5ZFJoC6vWCBiJm,Dhingra Group
ORD10064,7574.67,INR,2026-08-09,CUST94578,partial_refund,pay_WM6ZO88eb0ogET,"Pingle, Nagar and Dass"
ORD10066,19638.06,INR,2026-08-12,CUST78082,partial_refund,pay_fGmzWkpAePcEJI,"Varma, Bhagat and Shan"
ORD10015,18547.85,inr,2026-08-13,CUST29720,paid,pay_mHFwUbbYrEqmSM,"Ramanathan, Rao and Rastogi"
ORD10061,8915.38,INR,2026-08-03,CUST16215,paid,pay_J9WnywX0t0ZBfd,Chawla-Subramaniam
ORD10011,10129.98,INR,2026-08-21,CUST24984,paid,pay_enCkhvMdgaKjIg,"Rattan, Bhatia and Halder"
ORD10075,18254.19,INR,2026-08-25,CUST26696,paid,pay_8aB5kBh0fzK4xD,Joshi Group
ORD10040,12448.93,INR,2026-08-15,CUST50143,paid,pay_eE6RsXcNOPmeMj,Choudhary LLC
ORD10046,21384.53,INR,2026-08-09,CUST36784,paid,pay_gd1QsO7jprBGum,"Ben, Chaudry and Acharya"
ORD10006,14939.37,inr,2026-08-12,CUST76009,paid,pay_ZDe1f8rESQedUS,"Dora, Yadav and Chaudhuri"
ORD10025,24194.11,inr,2026-08-05,CUST28782,paid,pay_V8gz4FkQ1okTBG,Bal-Bobal
ORD10041,15603.54,INR,2026-08-10,CUST17491,paid,pay_aEdFrRgSnRFsTH,Puri and Sons
ORD10039,22465.87,inr,2026-08-17,CUST12052,paid,pay_QHeVVEqZe2qpUW,"Krishnan, Palan and Patla"
ORD10004,10803.29,INR,2026-08-18,CUST41176,paid,pay_DL7DxtpYlSXpfK,Das-D’Alia
ORD10073,12189.97,INR,2026-08-18,CUST53500,paid,pay_gYzQJjOIfPkzSr,Shukla-Srinivasan
