settlement_id,payment_id,gross_amount,fees,tax,net_amount,settlement_date,utr
STL5535,pay_fq0fjzLczbttOo,12716.44,300.11,54.02,12362.31,2026-08-09,UTR9878327
STL5522,pay_YXg4JdpmrcXgGC,13361.01,315.32,56.76,12988.93,2026-08-18,UTR2063152
STL5528,pay_ufrdZSlB5er8bO,14349.75,338.65,60.96,13950.14,2026-08-18,UTR5371335
STL5563,,11707.46,276.3,49.73,11381.43,2026-08-04,UTR6309714
STL5539,pay_QHeVVEqZe2qpUW,22465.87,530.19,95.43,21840.25,2026-08-19,UTR4871109
STL5544,pay_a8FRCztUjAwyuh,9972.2,235.34,42.36,9694.5,2026-08-19,UTR1029215
STL5570,pay_rxqVqmCplppjs4,7484.8,176.64,31.8,7276.36,2026-08-13,UTR6475041
STL5557,pay_AxRzmaZsV2GenF,17455.41,411.95,74.15,16969.31,2026-08-04,UTR6229722
STL5538,pay_y1CJdObOIRpFqa,15999.57,377.59,67.97,15554.01,2026-08-09,UTR2176276
STL5501,pay_e0IgxLd6GncfBA,9990.62,235.78,42.44,9712.4,2026-08-06,UTR5037655
STL5530,pay_OtHWnsCGRlrwZb,5202.85,122.79,22.1,5057.96,2026-08-09,UTR1619907
STL5526,pay_xbvJDCTbyvHNsG,8098.43,191.12,34.4,7872.91,2026-08-13,UTR2893308
STL5551,pay_9xiRGHOY32nfr5,12553.02,296.25,53.32,12203.45,2026-08-04,UTR7451858
STL5518,pay_ibjL5DZPjN0MEQ,18174.01,428.91,77.2,17667.9,2026-08-06,UTR3615776
STL5510,pay_RVdD53X83RZJzz,23764.55,560.84,100.95,23102.76,2026-08-21,UTR7612236
STL5524,pay_CueQpBenQtYh5X,10531.6,248.55,44.74,10238.31,2026-08-07,UTR7143536
STL5507,pay_b8DwkNhFdnXsiV,22197.6,523.86,94.29,21579.45,2026-08-15,UTR7675615
STL5516,pay_fogoEmvnEN5N1a,23883.02,563.64,101.46,23217.92,2026-08-16,UTR6771478
STL5568,pay_ngAFTCloiADN5R,6768.3,159.73,28.75,6579.82,2026-08-06,UTR3032806
STL5573,pay_8agOMTNwncxvjc,15154.45,357.65,64.38,14732.42,2026-08-27,UTR5276741
STL5536,pay_Y4MyWuUFjsUNPj,16506.08,389.54,70.12,16046.42,2026-08-06,UTR9606396
STL5567,pay_ngAFTCloiADN5R,6768.3,159.73,28.75,6579.82,2026-08-05,UTR4941526
STL5531,pay_GEp7CgQ0PBQFI1,13865.02,327.21,58.9,13478.91,2026-08-21,UTR9500779
STL5562,,9442.32,222.84,40.11,9179.37,2026-08-08,UTR7300979
STL5534,pay_upc94tnwlavyfE,24320.05,573.95,103.31,23642.79,2026-08-14,UTR9434980
STL5548,pay_AvstqVVPqzPptE,3356.32,79.21,14.26,3262.85,2026-08-22,UTR3008946
STL5537,pay_WGK10Zb0RLZ5TR,3653.83,86.23,15.52,3552.08,2026-08-19,UTR2427601
STL5545,pay_87mTa5Vsqxezy3,21008.95,495.81,89.25,20423.89,2026-08-12,UTR7051698
STL5520,pay_A1id6Vw5DQL05H,8283.53,195.49,35.19,8052.85,2026-08-23,UTR9416272
STL5564,pay_WM6ZO88eb0ogET,4247.92,100.25,18.04,4129.63,2026-08-14,UTR5211866
STL5527,pay_fqrc5XlrWi0B26,24297.06,573.41,103.21,23620.44,2026-08-11,UTR7810674
STL5566,pay_fGmzWkpAePcEJI,14111.13,333.02,59.94,13718.17,2026-08-17,UTR2765322
STL5515,pay_mHFwUbbYrEqmSM,18547.85,437.73,78.79,18031.33,2026-08-16,UTR8503235
STL5511,pay_enCkhvMdgaKjIg,10129.98,239.07,43.03,9847.88,2026-08-24,UTR1427833
STL5519,pay_PgHV7iB3m03nbq,729.64,17.22,3.1,709.32,2026-08-07,UTR5915164
STL5532,pay_m14TUOizwd1iae,24563.53,579.7,104.35,23879.48,2026-08-10,UTR8226629
STL5574,pay_6n0a0uARxlNten,15064.7,355.53,64.0,14645.17,2026-08-11,UTR9315211
STL5513,pay_1SkHbn88HxjSI6,18559.71,438.01,78.84,18042.86,2026-08-12,UTR9860206
STL5508,pay_zJr4i0B3JrTAwR,2197.42,51.86,9.33,2136.23,2026-08-20,UTR4871367
STL5540,pay_eE6RsXcNOPmeMj,12448.93,293.79,52.88,12102.26,2026-08-18,UTR5260410
STL5505,pay_MehGAkWvj7FAc9,18289.24,431.63,77.69,17779.92,2026-08-12,UTR6263809
STL5502,pay_h8oOOL8dKLzdoc,1664.94,39.29,7.07,1618.58,2026-08-16,UTR5858837
STL5555,pay_yqoYMaaItDr9uP,23598.8,556.93,100.25,22941.62,2026-08-19,UTR8974281
STL5542,pay_mtf7EbsDe0G9Cr,24832.85,586.06,105.49,24141.3,2026-08-08,UTR4520484
STL5525,pay_V8gz4FkQ1okTBG,24194.11,570.98,102.78,23520.35,2026-08-09,UTR6689424
STL5549,pay_5ZFJoC6vWCBiJm,2063.23,48.69,8.76,2005.78,2026-08-08,UTR2521936
STL5504,pay_DL7DxtpYlSXpfK,10803.29,254.96,45.89,10502.44,2026-08-21,UTR9811335
STL5554,pay_oK6cPTt9iOqHOB,232.88,5.5,0.99,226.39,2026-08-03,UTR2668406
STL5560,pay_VDctQUy1xvCkga,16380.21,386.57,69.58,15924.06,2026-08-07,UTR5694372
STL5553,pay_pYgojjHRg80USP,21414.47,505.38,90.97,20818.12,2026-08-21,UTR2426120
STL5550,pay_xqZKm4bV3AyAVH,2458.14,58.01,10.44,2389.69,2026-08-20,UTR7322759
STL5521,pay_3CXlMaXZjljENU,13181.96,311.09,56.0,12814.87,2026-08-06,UTR2036081
STL5565,pay_7FlaZ7Vt0SXjMp,14652.57,345.8,62.24,14244.53,2026-08-18,UTR8730625
STL5506,pay_ZDe1f8rESQedUS,14939.37,352.57,63.46,14523.34,2026-08-15,UTR8476611
STL5569,pay_rxqVqmCplppjs4,7484.8,176.64,31.8,7276.36,2026-08-12,UTR4158313
STL5541,pay_aEdFrRgSnRFsTH,15603.54,368.24,66.28,15169.02,2026-08-13,UTR8795749
STL5575,pay_gYzQJjOIfPkzSr,12189.97,287.68,51.78,11850.51,2026-09-02,UTR5753005
STL5503,pay_J0RlgLKOmxgJTe,3120.25,73.64,13.26,3033.35,2026-08-19,UTR4455413
STL5543,pay_jVHq8xiM0OGr4h,2049.4,48.37,8.71,1992.32,2026-08-10,UTR4881972
STL5572,pay_4sohdmM0Lm7exG,22875.51,539.86,97.17,22238.48,2026-08-16,UTR3982301
STL5533,pay_3GQsMpSscDlkrC,16696.65,394.04,70.93,16231.68,2026-08-04,UTR5416485
STL5529,pay_DavJA76rNicHTp,1851.24,43.69,7.86,1799.69,2026-08-09,UTR3708666
STL5571,pay_GHoPZgPDcgaE40,10021.53,236.51,42.57,9742.45,2026-08-04,UTR4877442
STL5512,pay_Oq9wMxEhh2FDEE,15427.91,364.1,65.54,14998.27,2026-08-10,UTR2440905
STL5547,pay_JnUfd7UACNWiP3,10120.03,238.83,42.99,9838.21,2026-08-24,UTR9146598
STL5556,pay_TPtdbmF4RPAfqo,6326.05,149.29,26.87,6149.89,2026-08-22,UTR7211227
STL5546,pay_gd1QsO7jprBGum,21384.53,504.67,90.84,20789.02,2026-08-12,UTR8176414
STL5517,pay_6yYTWmE4lBYOvf,20898.29,493.2,88.78,20316.31,2026-08-07,UTR8770544
STL5509,pay_oaF1LlqsajAIxN,3951.2,93.25,16.79,3841.16,2026-08-09,UTR3105398
STL5514,pay_2qHx6kwXoIIXGv,21609.46,509.98,91.8,21007.68,2026-08-23,UTR4274007
STL5552,pay_2039bicBTW5ZE9,10908.55,257.44,46.34,10604.77,2026-08-19,UTR1002997
STL5561,,8915.38,210.4,37.87,8667.11,2026-08-06,UTR8943408
STL5523,pay_GmSrCGIZEG8pSH,24338.33,574.38,103.39,23660.56,2026-08-23,UTR4398871
STL5559,pay_jAdTdlzC5T4uUh,5480.14,129.33,23.28,5327.53,2026-08-03,UTR3778873
STL5558,pay_qW4sg8NFNl5oFA,5923.06,139.78,25.16,5758.12,2026-08-08,UTR3455900
